K1;K2;K3;K4;K5;K6;Num
0,0001;0,0001;0,0001;0,0001;0,9995;0,0001;9
0,0001;0,0001;0,9995;0,0001;0,0001;0,0001;9
0,0001;0,0001;0,0001;0,0001;0,0001;0,9995;9
0,0001;0,0001;0,0001;0,9995;0,0001;0,0001;9
0,9995;0,0001;0,0001;0,0001;0,0001;0,0001;9
0,9995;0,0001;0,0001;0,0001;0,0001;0,0001;9
0,0001;0,0001;0,2560;0,0001;0,7436;0,0001;9
0,0001;0,0001;0,0001;0,0001;0,0001;0,9995;9
0,0001;0,9995;0,0001;0,0001;0,0001;0,0001;9
0,0001;0,0001;0,0001;0,0001;0,9995;0,0001;9
0,0001;0,0001;0,0001;0,0001;0,0001;0,9995;9
0,0001;0,0001;0,0001;0,9995;0,0001;0,0001;9
0,0001;0,9995;0,0001;0,0001;0,0001;0,0001;9
0,0001;0,9995;0,0001;0,0001;0,0001;0,0001;9
0,0001;0,0001;0,0001;0,0001;0,0001;0,9995;9
0,0001;0,0001;0,0001;0,0001;0,0001;0,9995;9
0,0001;0,0001;0,9995;0,0001;0,0001;0,0001;9
0,0001;0,0001;0,0001;0,0001;0,0001;0,9995;9
0,0001;0,9995;0,0001;0,0001;0,0001;0,0001;9
0,0001;0,0001;0,0001;0,0089;0,0001;0,9907;9
0,9995;0,0001;0,0001;0,0001;0,0001;0,0001;9
0,9995;0,0001;0,0001;0,0001;0,0001;0,0001;9
0,0001;0,0001;0,0001;0,0001;0,9995;0,0001;9
0,9995;0,0001;0,0001;0,0001;0,0001;0,0001;9
0,0001;0,0001;0,9995;0,0001;0,0001;0,0001;9
0,0001;0,0001;0,0001;0,9995;0,0001;0,0001;9
0,0001;0,0001;0,9995;0,0001;0,0001;0,0001;9
0,0001;0,0001;0,0001;0,0001;0,0001;0,9995;9
0,9995;0,0001;0,0001;0,0001;0,0001;0,0001;9
0,0001;0,0001;0,0001;0,0001;0,0001;0,9995;9
0,0001;0,0001;0,0001;0,0001;0,0001;0,9995;9
0,0001;0,0001;0,0001;0,0001;0,9995;0,0001;9
0,0001;0,0001;0,0001;0,0001;0,0001;0,9995;9
0,0001;0,0001;0,0001;0,0001;0,9995;0,0001;9
0,0001;0,0001;0,0001;0,0001;0,9995;0,0001;9
0,0001;0,0001;0,0001;0,9995;0,0001;0,0001;9
0,0001;0,0001;0,9995;0,0001;0,0001;0,0001;9
0,9995;0,0001;0,0001;0,0001;0,0001;0,0001;9
0,9995;0,0001;0,0001;0,0001;0,0001;0,0001;9
0,0001;0,0001;0,0001;0,0001;0,9995;0,0001;9
0,0001;0,9995;0,0001;0,0001;0,0001;0,0001;9
0,0001;0,0001;0,9995;0,0001;0,0001;0,0001;9
0,0001;0,0001;0,0001;0,0001;0,9995;0,0001;9
0,9995;0,0001;0,0001;0,0001;0,0001;0,0001;9
0,0001;0,0001;0,0001;0,0001;0,0001;0,9995;9
0,0001;0,0001;0,0001;0,0001;0,9995;0,0001;9
0,0001;0,9995;0,0001;0,0001;0,0001;0,0001;9
0,0001;0,0001;0,9995;0,0001;0,0001;0,0001;9
0,0001;0,0001;0,0001;0,1263;0,0001;0,8733;9
0,0001;0,0001;0,0001;0,0001;0,9995;0,0001;9
0,0001;0,0001;0,0001;0,9995;0,0001;0,0001;9
0,0001;0,0001;0,8220;0,0001;0,1777;0,0001;9
0,0001;0,0001;0,0001;0,0001;0,0001;0,9995;9
0,0001;0,0001;0,0001;0,9995;0,0001;0,0001;9
0,0001;0,0001;0,0001;0,9995;0,0001;0,0001;9
0,0001;0,0001;0,9995;0,0001;0,0001;0,0001;9
0,0001;0,0001;0,9995;0,0001;0,0001;0,0001;9
0,0001;0,0001;0,0001;0,0001;0,0001;0,9995;9
0,0001;0,0001;0,9995;0,0001;0,0001;0,0001;9
0,0001;0,0001;0,9995;0,0001;0,0001;0,0001;9
0,0001;0,0001;0,0001;0,0001;0,0001;0,9995;9
0,9995;0,0001;0,0001;0,0001;0,0001;0,0001;9
0,0001;0,9995;0,0001;0,0001;0,0001;0,0001;9
0,0001;0,0001;0,0001;0,0001;0,0001;0,9995;9
0,0001;0,0001;0,9995;0,0001;0,0001;0,0001;9
0,0001;0,0001;0,9995;0,0001;0,0001;0,0001;9
0,0001;0,0001;0,0001;0,0001;0,0001;0,9995;9
0,0001;0,9995;0,0001;0,0001;0,0001;0,0001;9
0,0001;0,0001;0,9995;0,0001;0,0001;0,0001;9
