ID;Lat;Lon
INPA_A18414_Tun_och_fer;-1,1;-69,11
MPEG_ESEC281_Tun_och_vir;-11,05;-70,27
MPEG_PIME321_Tun_och_lutes;-6,59;-56,1
MPEG_OM221_Tun_och_lutes;-8,9;-62
UWBMQ07320_Tun_och_nel;8,78;-78,45
KU_89462_Tun_och_och;18,14;-90,12
INPA_A18182_Tun_och_fer;-2,15;-69,05
MPEG_JATA377_Tun_och_lutes;-5,79;-57,22
MPEG_CN345_Tun_och_lutei;-0,949;-55,51
MPEG_AMZ442_Tun_och_fer;-0,419;-62,93
MPEG_BR012_Tun_och_lutes;-5,1;-55,64
MPEG_JRT065_Tun_och_lutes;-2,59;-56,5
B_48487_Tun_och_lutei;4,933;-59,894
INPA_A7816_Tun_och_lutei;-2,9;-59,94
MPEG_GUR230_Tun_och_rub;-3,7;-46,76
MPEG_PPS046_Tun_och_lutes;-11,08;-54,328
MPEG_AMA573_Tun_och_fer;-4,05;-71,3
MPEG_BR163026_Tun_och_lutes;-8,38;-55,37
INPA_A16631_Tun_och_lutei;-0,052;-56,33
MPEG_DED335_Tun_och_lutes;-10,26;-58
ANSP_34667_Tun_och_pal;13,76;-85,03
UWBMQ11226_Tun_och_nel;8,3;-81,06
MPEG_AMZ115_Tun_och_fer;-2,85;-60,85
UWBMQ08945_Tun_och_pac;8,2;-82,88
BQ06764_Tun_och_vir;-15,23;-67,06
MPEG_ARA042_Tun_och_lutes;-3,14;-55,81
KUQ13665_Tun_och_vir;-12,56;-73,08
MPEG_PNSP025_Tun_och_lutes;-5,87;-52,79
BQ6089_Tun_och_pac;9,71;-84,63
INPA_A7591_Tun_och_lutes;-5,08;-56,63
MPEG_PPBIO174_Tun_och_rub;-1,94;-51,59
INPA_A1990_Tun_och_fer;-1,81;-61,65
INPA_A15308_Tun_och_lutes;-2,96;-54,8
INPA_A6556_Tun_och_fer;-0,43;-65,34
MPEG_SGC526_Tun_och_fer;-1,01;-66,85
B_86319_Tun_och_lutes;-6,252;-59,068
MPEG_ESEC284_Tun_och_vir;-11,05;-70,27
UWBMQ07321_Tun_och_nel;8,78;-78,45
B_2292_Tun_och_bul;7,78;-77,73
MPEG_AMZ114_Tun_och_fer;-2,85;-60,85
MPEG_CN885_Tun_och_lutei;0,81;-53,91
MPEG_PUC255_Tun_och_fer;-4,86;-65,33
MPEG_SGC043_Tun_och_fer;0,15;-67,5
ANSPQ60115_Tun_och_bul;1,8;-78,45
MPEG_TLPB058_Tun_och_lutes;-9,48;-56,47
INPA_A1656_Tun_och_fer;-0,02;-64,35
INPA_A2686_Tun_och_lutei;-2;-60,01
MPEG_UFAC054_Tun_och_vir;-9,75;-67,67
MPEG_AGP012_Tun_och_rub;-2,54;-48,76
MPEG_SGC379_Tun_och_fer;0,71;-66,4
INPA_A15857_Tun_och_lutes;-4;-56,63
B_42609_Tun_och_fer;-4,281;-77,238
MPEG_PPS172_Tun_och_lutes;-9,263;-54,467
FMNH_390068_Tun_och_lutes;-10,9;-61,97
MPEG_JATB218_Tun_och_lutes;-6,29;-57,79
INPA_A4072_Tun_och_fer;-9,34;-64,8
MPEG_CUJ036_Tun_och_fer;-5,21;-68,31
MPEG_PIME103_Tun_och_lutes;-3,39;-53,3
DOTQ8246_Tun_och_vir;-9,47;-74,47
MPEG_AMA343_Tun_och_fer;-4,73;-72
MPEG_UHE441_Tun_och_rub;-3,52;-51,72
ANSPQ7216_Tun_och_bul;0,95;-78,55
MPEG_CN739_Tun_och_lutei;1,28;-58,68
INPA_A2533_Tun_och_lutes;-4,19;-55,36
INPA_A926_Tun_och_fer;-3,86;-63,98
B_4935_Tun_och_fer;-3,48;-72,81
MPEG_PIME413_Tun_och_lutes;-7,12;-55,42
B_71577_Tun_och_lutei;4,814;-54,616
FMNH_474664_Tun_och_fer;-6,72;-77,42
