ID;Lat;Lon
MPEG_PIME321_Tun_och_lutes;-6,59;-56,1
MPEG_JATA377_Tun_och_lutes;-5,79;-57,22
MPEG_BR012_Tun_och_lutes;-5,1;-55,64
MPEG_GUR230_Tun_och_rub;-3,7;-46,76
MPEG_PPS046_Tun_och_lutes;-11,08;-54,328
MPEG_BR163026_Tun_och_lutes;-8,38;-55,37
MPEG_DED335_Tun_och_lutes;-10,26;-58
MPEG_PNSP025_Tun_och_lutes;-5,87;-52,79
INPA_A7591_Tun_och_lutes;-5,08;-56,63
MPEG_PPBIO174_Tun_och_rub;-1,94;-51,59
INPA_A15308_Tun_och_lutes;-2,96;-54,8
MPEG_TLPB058_Tun_och_lutes;-9,48;-56,47
MPEG_AGP012_Tun_och_rub;-2,54;-48,76
MPEG_PPS172_Tun_och_lutes;-9,263;-54,467
MPEG_PIME103_Tun_och_lutes;-3,39;-53,3
MPEG_UHE441_Tun_och_rub;-3,52;-51,72
INPA_A2533_Tun_och_lutes;-4,19;-55,36
MPEG_PIME413_Tun_och_lutes;-7,12;-55,42
